alimento,unidad,peso_crudo_g,peso_neto_g,energia_kcal,proteina_g,lipidos_g,hidratos_carbono_g,fibra_g,azucar_g,colesterol_mg,acidos_saturados_g,acidos_monoinsaturados_g,acidos_poliinsaturados_g,acido_folico_mcg,vitamina_a_mcg,calcio_mg,hierro_mg,sodio_mg,potasio_mg,fosforo_mg,zinc_mg,selenio_mcg,carga_glicemica,categoria,pagina,ag_saturados_g,ag_monoinsaturados_g,ag_poliinsaturados_g,colesterol,acido_ascorbico_mg,AG saturados_g,AG monoinsaturados_g,AG poliinsaturados_g,cantidad_sugerida,peso_bruto_g,ac_g_saturados_g,ac_monoinsaturados_g,ac_poliinsaturados_g,AG poliinsaturados (g),AG monoinsaturados (g)
Cereal Kellogg’s® Rice Krispies®,1/2 taza,18,18,67,1.4,0.2,15,0.1,0,,,,,59.5,,,2.1,57.5,,,,,,cereales SIN GRASA,page_051.png,,,,,,,,,,,,,,,
Cereal Kellogg´s Special K® Antioxidantes,1/2 taza,19,19,69,1.5,0.3,15,0,0,,,,,30,125.1,93.8,2.2,65.4,,,,,,cereales SIN GRASA,page_051.png,,,,,9.4,,,,,,,,,,
Cereal Kellogg´s Special K® Energía,1/2 taza,19,19,74,1.3,0.9,15,0.8,0,,,,,30,125.1,93.8,2.2,65.4,,,,,,cereales SIN GRASA,page_051.png,,,,,9.4,,,,,,,,,,
Cereal Kellogg's® Special K® Equilibrio,1/2 taza,19,19,75,1.6,1,15,0.1,0,,,,,31.2,129.9,97.4,2.3,68,,,,,,cereales SIN GRASA,page_051.png,,,,,9.7,,,,,,,,,,
Cereal Kellogg's® Special K® Original,2/3 taza,20,20,72,0.3,1.4,15.6,0.1,0,0.2,,,,31.7,132.1,99,2.3,69.1,,,,,,cereales SIN GRASA,page_051.png,,,,,,,,,,,,,,,
Cereal Kellogg's® Zucaritas®/Krunchers®,1 taza,36,36,98,2.2,1.3,11.1,,0.4,0,,,,,,,,90.6,,,,,,cereales SIN GRASA,page_051.png,,,,,,,,,,,,,,,
Cereal Multibran Flakes,3/4 taza,19,19,65,2.4,1,12.1,,,,,,,,,,,71.9,,,,,,cereales SIN GRASA,page_051.png,,,,,,,,,,,,,,,
Cereal Multibran Pasas,3/4 taza,19,19,66,2.3,0.5,14.7,,,0.1,,,,,,,,0.5,,,,,,cereales SIN GRASA,page_051.png,,,,,,,,,,,,,,,
Cereal Multigrano,1/4 taza,20,20,67,2.3,0.7,14.5,,2.4,,,,,8.4,,,0.6,46.9,,,,,,cereales SIN GRASA,page_051.png,,,,,2.4,,,,,,,,,,
Cereal Quaker Avena Ohs,2/3 taza,20,20,70,1.4,0.9,14.8,0.4,0.3,0.2,,,,5.5,26.3,7,0.5,0,,,,,,cereales SIN GRASA,page_051.png,,,,,2.3,,,,,,,,,,
Cereal Quaker Chewy Sabor Frutas,2/3 taza,20,20,73,1.3,1.3,14.8,0.5,0.2,0.2,,,,4.6,25.1,0.5,,100.5,,,,,,cereales SIN GRASA,page_051.png,,,,,,,,,,,,,,,
Cereal Quaker Multibran Pasas,2/3 taza,20,20,70,2.1,1.1,13,0.2,0.3,0.5,,,,6.1,19.4,,0.6,77.1,,,,,,cereales SIN GRASA,page_051.png,,,,,1.7,,,,,,,,,,
Cereal Quaker Stila Sabor Manzana Canela,2/3 taza,20,20,74,1.7,1,14.4,0.2,0.4,0.3,0,0,0,,,,,90.5,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Cereal sin azucar,1/2 taza,14,14,51,1.2,0.1,12,0.1,0,0.1,0,0,0,,,,,152,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Chapatar,1/3 pieza,23,23,58,2.1,0.2,15,0,0,0,0,0,0,,,,,144.4,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Codito crudo,20 gramos,20,15,74,1.9,1.5,12.9,0,0,0,0,0,0,,,,,,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Coditos con crema deshidratados,1 1/2 cda,,,58,2,0.1,13.1,0,0,0,0,0,0,,,,,,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Couscous,1/3 taza,52,52,69,1.6,1.4,11.6,1,0,0,0,0,0,,,,,18.5,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Crepas,2 pieza,30,30,69,2.3,1,13.1,1.1,0.3,11.5,3.5,34.7,2,,,,,86,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Crepas para rellenar,2 pieza,30,30,69,1.8,1,13.8,0.3,0.3,2,2,6.9,4,,,,,215.5,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Crepas saladas,2 pieza,30,30,61,2.9,0.4,16.7,0.1,0.3,27.9,4.6,32.7,,,,,,64.4,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Croutones,1/2 taza,15,15,71,2.3,0.9,17.7,0.1,0.3,32.7,0.4,,,,,,,62.9,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Cuadritos de avena con salado,1/3 taza,19,19,73,2.3,0.6,16.6,0.2,0.2,0,0.1,,,,,,,67.7,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Cuadritos de avena,1/3 taza,19,19,71,2.3,0.8,15,0.4,0,0,0.3,,,,,,,53,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Curcuma,160 gramos,160,4,23,0.3,0,30.4,,,,,,,,,,,,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Discos de amaranto,1/7 pieza,174,66,71,,,,,,,,,,,,,,,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Elote amarillo cocido,1 1/2 pieza,188,71,70,,,,,,,,,,,,,,,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Elote amarillo congelado,1 1/2 pieza,186,71,61,,,,,,,,,,,,,,,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Elote amarillo crudo,1 1/3 pieza,186,71,61,,,,,,,,,,,,,,,,,,,,cereales,page_052.png,,,,,,,,,,,,,,,
Elote amarillo desgranado cocido,1/2 taza,83,83,66,2.3,0.4,16.2,2.6,2,0,0.2,0.3,0.5,18.2,38.5,3.3,0.3,122,42,85,,,,cereales,page_053.png,,,,,,,,,,,,,,,
Elote amarillo desgranado crudo,1/2 taza,83,83,66,2.3,0.4,16.2,2.6,2,0,0.2,0.3,0.5,18.2,38.5,3.3,0.3,122,42,85,,,,cereales,page_053.png,,,,,,,,,,,,,,,
Elote amarillo enlatado,1/2 taza,82,82,70,2.6,0.8,15.2,2.3,1.6,0,0.1,0.2,0.4,13,7,40,0.7,160,175,53,,,,cereales,page_053.png,,,,,,,,,,,,,,,
Elote blanco cocido,1 1/2 taza,215,215,66,2.3,0.4,15.5,2.6,2.2,0,0.1,0.3,0.5,18.2,38.5,3.3,0.4,122,42,85,,,,cereales,page_053.png,,,,,,,,,,,,,,,
Elote blanco desgranado,1/2 taza,83,83,66,2.1,0.4,15.2,2.3,1.8,0,0.1,0.3,0.4,13,40,4,0.3,122,38,75,,,,cereales,page_053.png,,,,,,,,,,,,,,,
Elote crudo,1/2 taza,82,82,66,2.3,0.5,13.1,1.6,1,0,0.1,0.3,0.4,18.2,38.5,3.3,0.3,122,42,85,,,,cereales,page_053.png,,,,,,,,,,,,,,,
English Muffin,1 pieza,29,29,67,2.5,0.3,12.2,0.4,2.1,0,0,0,0.1,,,,,,,,,,,cereales,page_053.png,,,,,,,,,,,,,,,
Espagueti cocido,1/3 taza,47,47,61,2.1,0.3,12.2,0,,0,0,0,0,7,5.7,14,0.5,27,50.3,44,,,21,cereales,page_053.png,,,,,,,,,,,,,,,
Espagueti crudo,20 gramos,20,20,70,2.9,0.3,15,0.1,0,0,0,0,0,,,,,1.6,,43,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Espagueti integral cocido,1/3 taza,47,47,58,2.5,0,12.4,0.1,0,0,0,0,0,,,,,1.4,,20.5,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fécula de maíz,2 cda,16,16,60,0,0,14.4,0,0,0,0,0,0,,,,,0,,0,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fécula de maíz sabor,2 cda,16,16,60,0,0,14.4,0,0,0,0,0,0,,,,,0,,0,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fetuccini crudo,20 gramos,20,20,70,2.7,0.5,14.1,0.3,0.6,0,0.1,0.1,0,,,,,3.2,,38.2,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fibra Uno,30 taza,30,30,60,2,1,25,0.4,0.1,0,0.1,0,0,49.1,,,,105,,39.4,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fideo cocido,20 taza,20,20,74,2.5,0.2,15,0.1,0,0,0,0,0,,,,,32.3,,37.5,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fideo con tomate deshidratado,1/2 taza,20,20,72,2.6,0.5,13.3,0.3,0,0,0,0,0,,,,,30.7,,20.3,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fideo deshidratado,20 cda,20,20,72,2,0.1,13.3,0,0,0,0,0,0,,,,,25.1,,10,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fideo seco deshidratado,20 cda,20,20,73,1.2,0.1,16,0,0,0,0,0,0,,,,,36.4,,54,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fruitcake,1/2 reb,46,46,65,0.6,0.2,12.3,0.7,8.6,0,0.4,0,0,,,,,10.2,,43,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fusilli cocido,20 taza,20,20,57,2.5,0.3,15,0.1,0,0,0.1,0,0,,,,,17.1,,33.3,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Fusilli crudo,16 gramos,16,16,70,0.6,0.1,11.3,,,,,,,,,,,15,,33,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Galleta barras de higo,pieza 6,15,15,68,1.1,2.1,11.3,0.3,3.4,0,0,0,0,,,,,15,,59.5,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Galleta de animalitos,pieza 1,15,15,50,0.5,0.5,12,0.5,7,0,0,0,0,,,,,30,,,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Galleta de manzana,pieza 1,15,15,,,,,,,,,,,,,,,,,,,,,cereales,page_054.png,,,,,,,,,,,,,,,
Galleta dulce,2 pieza,16,16,64,1.5,1.7,10.7,0.7,,,0,0,0,1.1,3.5,0.3,15.2,48.5,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galleta dulce sin relleno,2 pieza,16,16,64,1.5,1.7,10.7,0.7,,,0,0,0,1.1,3.5,0.3,15.2,48.5,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galleta María,5 pieza,19,19,69,1.3,1.3,13.8,0,11.3,,0,0,0,6.3,,0.5,,110.6,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galleta para sopa,14 pieza,18,18,70,1.2,1.8,12.8,0.1,20.8,1,0.1,0.8,0.1,,7.8,4.3,,268.3,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galleta salada,4 pieza,16,16,69,1.4,2.1,11.2,0.4,0,0.4,0.5,1.2,0,1.1,7.4,3.5,,176,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galleta salada integral,4 pieza,15,15,65,1.3,1.9,10.5,0,0,,,,,1.1,7,,,165,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galletas salada molida pasas,2 1/2 cda,15,15,61,1.3,2,9.5,1.3,4.7,,,,,,,,,57,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galletas de avena PASAS,1 1/2 pieza,18,18,64,1.4,0.6,13,1.4,1.4,,0.1,0.4,0,6.3,32.8,2.2,,110.6,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galletas de maíz horneadas sin grasa (Usa Marías),3 pieza,19,19,69,1,1.5,11.5,0,3.5,,0,0,0,31.3,,,,98,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Galletas Marías azucaradas,5 pieza,19,19,69,1.3,1.3,13.8,0.1,11.3,,0,0,0,31.3,,,,110.6,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Gluten de trigo,3 cda,18,18,68,7.5,0.3,8.5,0,0,,0,0,0,,,,,25.2,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Granola baja en grasa,3 cda,18,18,70,1.5,1.1,14.4,0.7,4.4,,0.2,0.3,,36.7,7,,,36.7,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
"Granola con fruta seca, baja en grasa",3 cda,20,20,76,1.9,2,12.4,0.5,4.9,,1.1,,,,,,,,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Granola Quaker Sabor Pasas y Miel,2/3 taza,,,,,,,,,,,,,,,,,,,,,,,cereales SIN GRASA,page_055.png,,,,,,,,,,,,,,,
Habaneras arándano ciruela,2 pieza,18,18,71,1.3,2.2,11.5,1.1,0.8,0.3,0,,,,,,,83.3,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Habaneras Bran Trigo Entero,2 pieza,18,18,72,1.7,2.4,11,1.1,0.8,,0,,,,,,,90,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Habaneras Bran Trigo Entero,4 galletas,18,18,72,1.7,2.4,11,1.1,0.8,,0,,,,,,,90,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Habaneras clásicas,4 galletas,18,18,74,1.6,1.4,13.8,0.7,0.4,0.3,0,,,,,,,129.2,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Habaneras clásicas,4 galletas,18,18,69,1.9,1.6,11.9,0,0,0,0,,,,,,,21.6,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Habaneras integrales,4 galletas,18,18,73,2.1,0.2,15.3,0,0,0,0,,,,,,,7,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Hagen integrales,1 pieza,20,20,68,1.2,0.3,16.3,0.1,0.2,0,0,,,,,,,20,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Harina blanca,2 1/2 cda,20,20,73,2.1,0.2,15.1,0.1,0.1,0,0,,,,,,,66.5,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Harina blanca refinada,2 1/2 cda,20,20,75,2.3,0.3,14.9,0.3,0.3,0.5,0,,,,,,,15.5,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Harina de arroz,2 cda,16,16,65,1.5,0.3,10.9,0.3,0.1,0,0,,,,,,,2.1,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Harina de avena,2 cda,18,18,62,2.2,0.3,10.5,0.3,0,0,0,,,,,,,8.8,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Harina de cebada,2 cda,20,20,69,2.1,0.3,13.6,0.3,0.2,0,0,,,,,,,0.4,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Harina de centeno,2 1/2 cda,18,18,63,2.1,0.3,13.6,0.5,0,0,0,,,,,,,36.8,,,,,,cereales SIN GRASA,page_056.png,,,,,,,,,,,,,,,
Harina de centeno integral,cda,,20,65,2.8,0.5,13.8,4.5,,0.2,0.1,0.1,0.2,,,12,11.3,1.3,145.9,39.7,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de maíz,cda,,18,65,1.7,0.7,13.6,1.7,,0.3,0.2,0.2,0.3,,,4.2,25.2,1.3,53.1,39.7,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de maíz nixtamalizada,cda,,18,65,1.7,0.7,13.6,1.7,,0.3,0.2,0.2,0.3,,,4.2,25.2,1.3,53.1,,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de maíz para atole,cda,,15,60,1.2,0.8,11.8,0.2,0.2,0.4,0.2,0.2,0.3,,,,5.3,,19.4,,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de maíz para masa,cda,,14,62,1.4,0.7,12.7,0.1,0.1,0.1,0,0,0.2,,,6.7,19.4,0.5,,33.3,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de papas,cda,,18,65,1.9,0.3,14.1,0.1,0.1,0,0,0,0,,,,6.3,2,297.7,,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de quinoa,cda,,24,86,3.4,0.9,18,2.6,,0.1,0,0,,,,5.2,8.3,,21.1,41,,,8,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de tapioca,cda,,20,73,0,0,18.9,0,,0,0,0,0,,,,0.9,0,0.5,,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de trigo,cda,,19,64,2.6,0.3,12.4,0.3,,0.1,0,0,,,,2.3,6.4,0.7,75.9,126.4,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina de trigo integral,cda,,19,64,2.8,0.5,13.6,4.5,,0.2,0.1,0,0.1,,,12,11.3,1.3,145.9,64.8,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina integral de trigo,cda,,19,64,2.6,0.3,13.6,2.3,,0.1,0,0,,,,2.3,6.4,0.7,75.9,64.8,,,,Cereales sin grasa,page_057.png,,,,,,,,,,,,,,,
Harina Kamut,cda,2,18,68,2.7,0.5,13.1,0,0,0,0,0,0,,,24.9,0.7,36.6,,,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
Harina nixtamalizada,cda,2.5,18,67,1.3,0.8,13.8,0.2,0.2,0,0,0,0,,0.2,,0.2,36.6,,18.5,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
Harina para brownies,cda,1.5,13,60,0.7,2.3,9,0.7,0.7,,0.2,0,0,,,,0.5,,51.4,243.6,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
Harina para brownies baja en grasas,cda,2,18,61,0.9,1.2,12.6,0.2,0.2,,0.2,0,0,,,,,56.1,122.4,,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
Harina para hot cakes,cda,2,18,61,1.7,0.2,13.3,0,0.1,,0,0,0,,,6,5,18.5,243.6,122.4,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
Harina para repostería,cda,2,16,60,1.4,0.7,12.7,0.2,0.2,19.4,6.1,,,,,13.9,0.5,125,270,149,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
Harina para tamales,pieza,9,20,69,1.6,0.3,16,0,0,0,0.1,0.4,0,,,2.5,1.4,194.2,149,149,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
"Hojuelas de trigo con entrelazados de miel, maple y azúcar",cda,1,14,59,1.1,1.2,11.3,0.1,,,,,,,,5.1,3.8,87.3,,,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
Hojuelas de 7 fibras,taza,1,61,71,1.7,1.1,14.3,0.3,,,,,,,,56.6,2.1,125.7,,,,,,cereales sin grasa,page_058.png,,,,,,,,,,,,,,,
Hojuelas de avena instantáneas con pasas y especias. Preparado,1/4 taza,62,62,62,1.3,0.7,12.5,1,,0,0.1,0.2,0.2,,,42.9,1.5,93,,,,,,cereales,page_059.png,,,,,,,,,,,,,,,
"Hojuelas de avena instantáneas con miel, maple y azúcar morena. Preparado",1/4 taza,59,59,60,1.4,0.8,11.8,1.1,,0,0.1,0.3,0.2,4700,,40.9,1.4,95.9,,,,,,cereales,page_059.png,,,,,,,,,,,,,,,
"Hojuelas de avena, frutas y nueces",1/4 taza,21,21,72,2.1,1.1,16.5,1.6,,0,0.2,0.5,0.3,157.7,,,1.9,49,,56.7,,,,cereales,page_059.png,,,,,,,,,,,,,,,
Hojuelas de cereales con fruta seca,1/3 taza,18,18,70,1.3,1,14,1,,0,0,0.3,0.3,33.3,,,1.5,83.3,,83.3,,,,cereales,page_059.png,,,,,,,,,,,,,,,
Hojuelas de cereales con frutas secas,1/3 taza,18,18,70,1.3,1,14,1,,0,0,0.3,0.3,33.3,,,1.5,83.3,,83.3,,,15,cereales,page_059.png,,,,,,,,,,,,,,,
Hojuelas de maíz azucaradas,3/4 taza,19,19,67,1.4,0.1,15.8,0.6,,3.9,0,0.1,0,109.3,5.4,31.5,1.9,136.7,,219.6,,,,cereales,page_059.png,,,,,,,,,,,,,,,
Hojuelas de maíz y trigo con fruta y nueces,1/3 taza,13,13,52,0.7,0.1,12,0.3,,8.1,0,0,0,106.5,,8.7,1.6,119.7,,,,,,cereales,page_059.png,,,,,,,,,,,,,,,
Hojuelas de papá para puré,20 gramos,20,20,70,1.7,0.5,16.2,1.3,,0,0,0,0,9.2,,5.4,2.6,73.2,,,,,,cereales,page_059.png,,,,,,,,,,,,,,,
Hojuelas de salvado con pasas,1/3 taza,21,21,71,1.8,0.4,15.8,2.3,,0.4,0.1,0.1,0.1,149.9,,,0.3,,,,,,,cereales,page_059.png,,,,,,,,,,,,,,,
Hojuelas de trigo,1/2 taza,18,18,59,1.8,0.3,14.1,0.3,,0,0,0,0,,,7.2,0.8,180.6,,,,,,cereales,page_059.png,,,,,,,,,,,,,,,
Hojuelas de trigo con miel,1/2 taza,18,18,62,1.6,0.4,14.3,0.1,0.1,0,0.1,0.1,0.1,,9.4,11.9,8.1,75,101.3,231.9,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Hojuelas de trigo integral,1/2 taza,16,16,59,3.5,0.3,11,0.2,0.2,0,0.2,0.2,0.1,,10.5,45,4.5,,12,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Hojuelas de trigo integral con frutos rojos,1/2 taza,16,16,57,1.9,0.2,12.5,0.1,0.1,0,0.1,0.1,0.1,,10.5,9.5,4.1,,110,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Hojuelas de trigo integral con chispas de yogurt,1/2 taza,19,19,64,2.1,1,14.7,0.6,0.1,3.4,0.1,0.1,0.3,,2,12,1.5,,78.3,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Hojuelas de trigo integral con fibra extra,1/2 taza,26,26,50,3.8,1.2,26,0.3,0.3,0,0.3,0.3,0.8,,140,,60.8,,1612,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Hojuelas de trigo integral con frutas y yoghourt,1/2 taza,15,15,57,1,0.4,11.6,0.2,0,,0,0,0,,3.3,,2.1,,63.9,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Hojuelas de trigo negro con frutas y yoghourt,1/3 taza,59,59,54,2,0.4,11.7,0.1,0.5,,0.1,0,0.3,,,,,50,,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
"Hojuelas fortificadas de trigo entero, avena, leche y almendras, pasas y miel",1/4 taza,15,15,58,1.5,1.3,14,0.1,0.3,1.7,0,0,0,,,,,75.5,,,,,25,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Hojuelas de avena instantáneas con manzana y canela,1/3 taza,79,79,69,1.4,0.8,14,0.1,0.3,,,,,,58.1,,2,87.2,,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Hot cake,3/4 pieza,38,38,72,2.5,2.3,15,0,0,,,,,,81.9,4.9,1,164.8,,59.2,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Kamut trigo de Jorasán cocido,1/3 taza,54,54,68,3.1,0.5,14.6,0,0,,,,,,5.2,5,0.4,39.4,,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Lasaña cruda,20 gramos,20,20,68,1.9,0.1,14.6,0,0,,,,,,5.2,5,0.4,39.4,,,,,,cereales SIN GRASA,page_060.png,,,,,,,,,,,,,,,
Linaza,4 cda,,48,256,8.8,20.2,13.9,13.1,0.7,0,1.8,3.6,13.8,,,122.4,2.8,14.4,,,,10,,cereales,page_061.png,,,,,,,,,,,,,,,
Maca cocido,2 cda,,18,64,2.3,0.2,12.4,1.2,,0,0,0,0,,,85.5,0.5,1.4,41.7,41.7,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Macarrón crudo,1/3 taza,47,,58,2.5,0.3,14.6,1.3,,0,0,0,0.1,,,7,7,20.7,,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Macarrón integral cocido,20 gramos,,20,60,2,0.3,14.4,2.2,,0,0,0,0,,,,,,,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maicena,1/3 taza,,16,67,0,0.1,13,0,,0,0,0,0,,,2.3,0,0,0,0,0,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maicena de sabor,2 cda,,18,67,0,0.1,13,0,,0,0,0,0,,,2.3,0,0,0,0,0,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maíz,20 gramos,,20,67,2.2,0.9,13.7,2.2,,0,0.1,0.1,0.2,,,,,,,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maíz amarillo,20 gramos,,20,67,2.2,1.5,13.3,2.2,,0,0.2,0.1,0.2,,,,,,,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maíz amarillo cocido,20 gramos,,20,68,2.2,0.9,13,2.2,,0,0.2,0.1,0.2,,,,,,,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maíz azul,25 gramos,,25,67,2.2,0.9,14.2,2.4,,0,0.3,0.2,0.2,,,,,,,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maíz blanco cocido,20 gramos,,20,60,1.8,0.4,14.4,3.4,,0,0.4,0.4,0.3,,,55.7,,,134.8,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maíz cacahuacinte,1/3 taza,,16,58,0,0,14.4,1.1,,0,0,0,0,,,0.3,,,,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maíz palomero,2 cda,,16,60,0,0,14.4,0,,0,0,0,0,,,0.3,,,355.8,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maiz pozolero,2 cda,,16,60,0,0,15.9,2.5,,0,0,0,0,,,25.9,0.3,0,50.6,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Maizena,2 cda,,16,54,0,0,14.4,0,,0,0,0,0,,,2.7,,,13.2,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Malanga,70 gramos,,70,67,0.9,0.1,15.9,2.5,,0,0,0,0,,,,,,,,,,,cereales,page_061.png,,,,,,,,,,,,,,,
Marías,5 pieza,19,19,75,1.4,1.4,14.3,0.4,3.5,0,0.7,0.4,0.3,26.1,33.8,1.1,1.1,112.5,,12.5,,,,cereales,page_062.png,,,,,,,,,,,,,,,
Marías Cerealé fresa,1 1/2 pieza,15,15,66,1.1,2.1,10.7,1.4,8,0,0.7,0.7,0.3,,,,,63.8,,63.8,,,,cereales,page_062.png,,,,,,,,,,,,,,,
Marinela Sponch,1 pieza,20,20,80,1.3,1.3,14.7,0,,0,0.1,0.2,0,,,,,26.7,,26.7,,,,cereales,page_062.png,,,,,,,,,,,,,,,
Masa de maíz,45 gramos,45,45,69,1.6,0.9,14.3,1.5,,0,0.1,0.2,0.4,,,,,0,,,,,,cereales,page_062.png,,,,,,,,,,,,,,,
Masa de maíz amarillo,35 gramos,35,35,66,1.5,0.8,13.5,1.2,,0,0.1,0.2,0.5,,,,,0,,,,,,cereales,page_062.png,,,,,,,,,,,,,,,
Masa de maíz blanco,45 gramos,45,45,69,1.6,0.9,14.3,1.5,,0,0.1,0.2,0.5,,,,,0,,,,,,cereales,page_062.png,,,,,,,,,,,,,,,
